Country;Age_group;Sex;COP;n;x;Prevalence;lower;upper;p_value_Age_group;p_value_Sex
AT;40-49;Males;50≥PT<100;107;10;9.3;5.1;16.5;;
AT;40-49;Females;50≥PT<100;143;18;12.6;8.1;19.1;;
AT;40-49;Total;50≥PT<100;250;28;11.2;7.8;15.7;;0.4228677373010967
AT;50-59;Males;50≥PT<100;114;9;7.9;4.2;14.5;;
AT;50-59;Females;50≥PT<100;136;4;2.9;1.1;7.6;;
AT;50-59;Total;50≥PT<100;250;13;5.2;3;8.7;;0.0908907042756586
AT;Total;Males;50≥PT<100;221;19;8.6;5.6;13.1;0.7008668872598549;
AT;Total;Females;50≥PT<100;279;22;7.9;5.2;11.7;0.005953648516658625;
AT;Total;Total;50≥PT<100;500;41;8.2;6.1;10.9;0.01684377064204993;0.7732776836328907
BE;40-49;Males;50≥PT<100;98;7;7.1;3.4;14.2;;
BE;40-49;Females;50≥PT<100;154;11;7.1;4;12.4;;
BE;40-49;Total;50≥PT<100;252;18;7.1;4.5;11.1;;0.9999999999999997
BE;50-59;Males;50≥PT<100;106;13;12.3;7.3;20;;
BE;50-59;Females;50≥PT<100;146;16;11;6.8;17.1;;
BE;50-59;Total;50≥PT<100;252;29;11.5;8.1;16.1;;0.7486798284607892
BE;Total;Males;50≥PT<100;204;20;9.8;6.4;14.7;0.22421949807102218;
BE;Total;Females;50≥PT<100;300;27;9;6.2;12.8;0.25164234211402847;
BE;Total;Total;50≥PT<100;504;47;9.3;7.1;12.2;0.09481773996589145;0.7606994684516861
DK;40-49;Males;50≥PT<100;126;10;7.9;4.3;14.1;;
DK;40-49;Females;50≥PT<100;123;9;7.3;3.9;13.5;;
DK;40-49;Total;50≥PT<100;249;19;7.6;4.9;11.7;;0.8539921605433495
DK;50-59;Males;50≥PT<100;126;10;7.9;4.3;14.1;;
DK;50-59;Females;50≥PT<100;116;13;11.2;6.6;18.3;;
DK;50-59;Total;50≥PT<100;242;23;9.5;6.4;13.9;;0.38827643082609337
DK;Total;Males;50≥PT<100;252;20;7.9;5.2;12;0.9999999999999997;
DK;Total;Females;50≥PT<100;239;22;9.2;6.1;13.6;0.3018524601307561;
DK;Total;Total;50≥PT<100;491;42;8.6;6.4;11.4;0.4588355019623219;0.6157331325401505
FI;40-49;Males;50≥PT<100;116;7;6;2.9;12.1;;
FI;40-49;Females;50≥PT<100;134;3;2.2;0.7;6.7;;
FI;40-49;Total;50≥PT<100;250;10;4;2.2;7.3;;0.14194641613395184
FI;50-59;Males;50≥PT<100;114;12;10.5;6.1;17.6;;
FI;50-59;Females;50≥PT<100;136;5;3.7;1.5;8.5;;
FI;50-59;Total;50≥PT<100;250;17;6.8;4.3;10.7;;0.040112364713585015
FI;Total;Males;50≥PT<100;230;19;8.3;5.3;12.6;0.22147537820567842;
FI;Total;Females;50≥PT<100;270;8;3;1.5;5.8;0.4903985034151676;
FI;Total;Total;50≥PT<100;500;27;5.4;3.7;7.8;0.1707654875284527;0.012197889402077089
FR;40-49;Males;50≥PT<100;149;15;10.1;6.2;16;;
FR;40-49;Females;50≥PT<100;150;13;8.7;5.1;14.4;;
FR;40-49;Total;50≥PT<100;299;28;9.4;6.5;13.2;;0.6779593502380357
FR;50-59;Males;50≥PT<100;149;24;16.1;11;22.9;;
FR;50-59;Females;50≥PT<100;149;7;4.7;2.3;9.5;;
FR;50-59;Total;50≥PT<100;298;31;10.4;7.4;14.4;;0.0023377421119754956
FR;Total;Males;50≥PT<100;298;39;13.1;9.7;17.4;0.12517163395307096;
FR;Total;Females;50≥PT<100;299;20;6.7;4.4;10.1;0.17590974651586305;
FR;Total;Total;50≥PT<100;597;59;9.9;7.7;12.5;0.670980332369259;0.010026280834876732
GR;40-49;Males;50≥PT<100;0;0;;;;;
GR;40-49;Females;50≥PT<100;0;0;;;;;
GR;40-49;Total;50≥PT<100;250;15;6;3.6;9.7;;
