Antigen;Country;Age_group;Sex;GMC;lower;upper;p_value_Age_group;p_value_Sex
Dt;AT;40-49;Males;0.08032724938983939;0.058609325501392966;0.11009283828704182;;
Dt;AT;40-49;Females;0.07704328764315545;0.0586566831327828;0.10119338247321705;;
Dt;AT;40-49;Total;0.07843206130770243;0.06372673399358741;0.09653073138181227;;0.8443643062954989
Dt;AT;50-59;Males;0.06940795627840067;0.051142578005327045;0.09419674530764931;;
Dt;AT;50-59;Females;0.04192790095221155;0.031701261684010815;0.05545359348095348;;
Dt;AT;50-59;Total;0.052762372873741616;0.04286988821834268;0.06493760788666146;;0.017037205638987057
Dt;AT;Total;Males;0.07449569126288785;0.05970504517942927;0.09295040310341418;0.5140503165246425;
Dt;AT;Total;Females;0.05727085915768394;0.047031192991217885;0.06973991302478197;0.0022659825276792433;
Dt;AT;Total;Total;0.06432932196108697;0.05544168478781798;0.07464170109207201;0.008145858642638058;0.08195218121072398
Dt;BE;40-49;Males;0.08306341871552453;0.05975381436621397;0.11546595982015984;;
Dt;BE;40-49;Females;0.06923984839857432;0.05324101632852692;0.09004630145816377;;
Dt;BE;40-49;Total;0.07431888944580758;0.06043461805671587;0.09139293845250647;;0.39708912107905836
Dt;BE;50-59;Males;0.03844478826844592;0.028008966238798654;0.05276887880846797;;
Dt;BE;50-59;Females;0.039049339875598485;0.029813936472347844;0.05114557569860965;;
Dt;BE;50-59;Total;0.0387938945074974;0.03154641054213691;0.047706418105750444;;0.9414029289179211
Dt;BE;Total;Males;0.05566258814409652;0.04420978468727629;0.07008230736285448;9.536096880375112e-4;
Dt;BE;Total;Females;0.05239640229254088;0.043331353083071185;0.06335788702325008;0.002881492440157166;
Dt;BE;Total;Total;0.053694684625901684;0.046303678293985226;0.0622654454959263;1.3300825638852064e-5;0.6913827250149676
Dt;DK;40-49;Males;0.13143053532324114;0.0982976597265534;0.1757314025929701;;
Dt;DK;40-49;Females;0.049042230756506516;0.03655004648397738;0.06580403115571376;;
Dt;DK;40-49;Total;0.08076297704024415;0.06559329758864454;0.09944092918317013;;2.973412247124137e-6
Dt;DK;50-59;Males;0.12400224312346683;0.09274199690278913;0.16579927986421159;;
Dt;DK;50-59;Females;0.0456430228633229;0.033720659745348;0.06178068732445903;;
Dt;DK;50-59;Total;0.07680156180949217;0.06218988541360422;0.09484628982910034;;3.0614763839050448e-6
Dt;DK;Total;Males;0.1276623718838092;0.10376452047828955;0.15706410167827964;0.7813149578113711;
Dt;DK;Total;Females;0.04736190369772984;0.03828242661130234;0.05859476842073479;0.7386456517836777;
Dt;DK;Total;Total;0.07878560674872376;0.06780866767241484;0.09153950437061424;0.7393853070240877;6.359112439620172e-11
Dt;FI;40-49;Males;0.32277963556023226;0.238466726799558;0.43690243301729026;;
Dt;FI;40-49;Females;0.2674099616428196;0.20176609832035353;0.35441081619310244;;
Dt;FI;40-49;Total;0.2918096345344471;0.23709787358242546;0.35914646352796065;;0.3723697888983961
Dt;FI;50-59;Males;0.19771307466785654;0.1456829574885572;0.26832555137884134;;
Dt;FI;50-59;Females;0.23712782424909773;0.17928994865850206;0.31362385595978326;;
Dt;FI;50-59;Total;0.2182642597143169;0.17734161498769105;0.26863005094402315;;0.38947123732821964
Dt;FI;Total;Males;0.25316069738985436;0.2037865596880985;0.31449737804597916;0.025482506110058995;
Dt;FI;Total;Females;0.25170203918542056;0.20602737228890816;0.3075024246839349;0.5527966358885613;
Dt;FI;Total;Total;0.2523719751857692;0.21750466305228905;0.29282872819997785;0.0525784304573616;0.9693963862919832
Dt;FR;40-49;Males;0.3350769648724748;0.25652872724630504;0.437676409941986;;
Dt;FR;40-49;Females;0.22515216333468804;0.17252613751350954;0.29383082114337905;;
Dt;FR;40-49;Total;0.27448688921176406;0.22702239510508887;0.3318749778596727;;0.038807953372120674
Dt;FR;50-59;Males;0.11356309310882122;0.08694180379856026;0.148335732098721;;
Dt;FR;50-59;Females;0.07462300337118491;0.057129991270490524;0.09747231722424982;;
Dt;FR;50-59;Total;0.09205660801866133;0.07611387566641738;0.11133868832329752;;0.029363199514876166
Dt;FR;Total;Males;0.1950701836786779;0.16121865573314165;0.23602961076303483;2.028194475826114e-8;
Dt;FR;Total;Females;0.1298603103847004;0.10735922701883469;0.15707732517720366;9.770106900311463e-9;
Dt;FR;Total;Total;0.15910567217421415;0.1388645316806333;0.18229719721539953;1.7652073805738344e-15;0.0030684468891773856
Dt;GR;40-49;Males;;;;;
Dt;GR;40-49;Females;;;;;
Dt;GR;40-49;Total;0.03043553587489556;0.024729138394597845;0.03745871890928526;;
Dt;GR;50-59;Males;;;;;
Dt;GR;50-59;Females;;;;;
Dt;GR;50-59;Total;0.007218663227783598;0.0058652268426493594;0.008884413202442671;;
Dt;GR;Total;Males;;;;;
Dt;GR;Total;Females;;;;;
Dt;GR;Total;Total;0.014772492412677194;0.012733438552905312;0.01713806770856988;9.315123705852529e-22;
Dt;HU;40-49;Males;0.09816239811993115;0.07358368151448369;0.1309509962852186;;
Dt;HU;40-49;Females;0.06588375452632954;0.049605028192628124;0.08750461936297661;;
Dt;HU;40-49;Total;0.08017328850167994;0.06540467750851368;0.09827670487843791;;0.05334358130406947
Dt;HU;50-59;Males;0.05600033352192031;0.04238459271471864;0.0739900316059255;;
Dt;HU;50-59;Females;0.052069247751684415;0.03936903138907729;0.06886647869570145;;
Dt;HU;50-59;Total;0.0540062286759968;0.044274523821832557;0.06587699841880164;;0.7177483058457069
Dt;HU;Total;Males;0.0734393219549433;0.059999866933405636;0.08988909950730266;0.006065763682036156;
Dt;HU;Total;Females;0.05846785449108606;0.047822410790811974;0.07148301292764606;0.24695861877978717;
Dt;HU;Total;Total;0.06548536672883531;0.05670255252401529;0.07562857516500354;0.006492932560709863;0.11694840529274543
Dt;IE;40-49;Males;0.029946873365721924;0.022371483312854563;0.040087427902792606;;
Dt;IE;40-49;Females;0.02073244806435077;0.015487947948420773;0.027752831051116096;;
Dt;IE;40-49;Total;0.02491730315954195;0.02024552617654797;0.030667120791541866;;0.08054761251855523
Dt;IE;50-59;Males;0.02149732528251516;0.016040504935568356;0.02881050167426608;;
Dt;IE;50-59;Females;0.01298777808234936;0.00969099716797965;0.01740609109594042;;
Dt;IE;50-59;Total;0.016475522756805226;0.013380931544624792;0.020285796187265254;;0.01708005658001686
Dt;IE;Total;Males;0.025389669491965267;0.020611157987111956;0.031276035888634625;0.11590206082821503;
Dt;IE;Total;Females;0.016424818746098517;0.013333554191898706;0.02023276516970253;0.02655469282615005;
Dt;IE;Total;Total;0.02026983164602335;0.0174667827060069;0.023522710614407038;0.005810236809878896;0.0037962785673083446
Dt;LV;40-49;Males;0.2659819926711389;0.20026248261110388;0.3532684679770725;;
Dt;LV;40-49;Females;0.2447885406163371;0.18131416395129904;0.33048399700958275;;
Dt;LV;40-49;Total;0.25575926282360373;0.20780663209160335;0.3147772516289979;;0.6935746134062395
Dt;LV;50-59;Males;0.12266072400091606;0.09152487218200042;0.16438868313861277;;
Dt;LV;50-59;Females;0.10758543353816684;0.08046376978880329;0.14384890914228515;;
Dt;LV;50-59;Total;0.11481580915833979;0.09328884650610945;0.14131024797075795;;0.5331403417054051
Dt;LV;Total;Males;0.18282314345400558;0.14884119546082364;0.224563513339971;1.9982408156229376e-4;
Dt;LV;Total;Females;0.16011027489213564;0.12970043684710036;0.1976500677191694;1.1507582148316745e-4;
Dt;LV;Total;Total;0.17136279266758198;0.1476875808077576;0.19883328408674306;9.153480973696381e-8;0.3770655294047003
Dt;LT;40-49;Males;0.16952534330544583;0.12524381737235538;0.22946315934612105;;
Dt;LT;40-49;Females;0.16517103788554205;0.12462481077725364;0.21890883192551688;;
Dt;LT;40-49;Total;0.16717735074766815;0.13583305580932203;0.20575453034231753;;0.9018324639820898
Dt;LT;50-59;Males;0.09785660809434793;0.06990917925807388;0.13697651509225614;;
Dt;LT;50-59;Females;0.07088233081850029;0.054596154161414;0.09202671688941523;;
Dt;LT;50-59;Total;0.08001982646736269;0.06501680703625545;0.09848488290568044;;0.13763101045844955
Dt;LT;Total;Males;0.13256009913621494;0.10563489270392631;0.16634825324482963;0.017312340809652126;
Dt;LT;Total;Females;0.10478527006182162;0.08637551993514458;0.12711880438083883;1.5917121244737273e-5;
Dt;LT;Total;Total;0.11566115422259071;0.0996815924545729;0.13420233632602063;8.854867241293751e-7;0.12214921584687752
Dt;NL;40-49;Males;0.08097477562929854;0.06744360407220684;0.09722069836593016;;
Dt;NL;40-49;Females;0.05506907062314213;0.047678866658797864;0.06360475304496421;;
Dt;NL;40-49;Total;0.0638352004732413;0.05696025568417283;0.07153993201949725;;0.0011731075708131223
